id,name,category,subcategory,dimension,size_m,tier,note
african-elephant,African bush elephant,animals,mammal,shoulder height,3.2,1,
asian-elephant,Asian elephant,animals,mammal,shoulder height,2.75,2,
giraffe,Giraffe,animals,mammal,standing height,5.0,1,
hippopotamus,Hippopotamus,animals,mammal,body length,3.5,1,
white-rhino,White rhinoceros,animals,mammal,body length,3.8,1,
black-rhino,Black rhinoceros,animals,mammal,body length,3.3,3,
blue-whale,Blue whale,animals,marine mammal,length,25,1,
humpback-whale,Humpback whale,animals,marine mammal,length,14,2,
sperm-whale,Sperm whale,animals,marine mammal,length,16,2,
orca,Orca,animals,marine mammal,length,7,1,
bottlenose-dolphin,Bottlenose dolphin,animals,marine mammal,length,2.5,1,
narwhal,Narwhal,animals,marine mammal,body length (excl. tusk),4.5,3,
beluga,Beluga whale,animals,marine mammal,length,4,3,
manatee,West Indian manatee,animals,marine mammal,length,3,3,
dugong,Dugong,animals,marine mammal,length,3,4,
walrus,Walrus,animals,marine mammal,length,3.2,2,
sea-lion,California sea lion,animals,marine mammal,length,2.4,2,
harbor-seal,Harbor seal,animals,marine mammal,length,1.7,2,
elephant-seal,Southern elephant seal,animals,marine mammal,length,5,3,male
sea-otter,Sea otter,animals,marine mammal,length,1.3,3,
polar-bear,Polar bear,animals,mammal,body length,2.5,1,
brown-bear,Brown bear,animals,mammal,body length,2.0,1,
black-bear,American black bear,animals,mammal,body length,1.6,2,
giant-panda,Giant panda,animals,mammal,body length,1.5,1,
lion,Lion,animals,mammal,head-body length,1.9,1,
tiger,Tiger,animals,mammal,head-body length,2.0,1,
leopard,Leopard,animals,mammal,head-body length,1.3,2,
cheetah,Cheetah,animals,mammal,head-body length,1.2,1,
jaguar,Jaguar,animals,mammal,head-body length,1.5,2,
cougar,Cougar,animals,mammal,head-body length,1.5,2,
snow-leopard,Snow leopard,animals,mammal,head-body length,1.1,3,
lynx,Eurasian lynx,animals,mammal,head-body length,0.9,2,
domestic-cat,Domestic cat,animals,mammal,head-body length,0.46,1,
gray-wolf,Gray wolf,animals,mammal,head-body length,1.2,1,
red-fox,Red fox,animals,mammal,head-body length,0.6,1,
fennec-fox,Fennec fox,animals,mammal,head-body length,0.35,3,
coyote,Coyote,animals,mammal,head-body length,0.9,3,
african-wild-dog,African wild dog,animals,mammal,head-body length,0.9,3,
spotted-hyena,Spotted hyena,animals,mammal,head-body length,1.3,2,
labrador,Labrador retriever,animals,mammal,shoulder height,0.57,1,
chihuahua,Chihuahua,animals,mammal,shoulder height,0.2,2,
great-dane,Great Dane,animals,mammal,shoulder height,0.8,3,
horse,Horse,animals,mammal,height at withers,1.6,1,
zebra,Plains zebra,animals,mammal,shoulder height,1.3,1,
donkey,Donkey,animals,mammal,shoulder height,1.1,2,
dromedary,Dromedary camel,animals,mammal,height at hump,2.0,1,
bactrian-camel,Bactrian camel,animals,mammal,height at hump,2.1,3,
llama,Llama,animals,mammal,standing height,1.75,2,
alpaca,Alpaca,animals,mammal,shoulder height,0.9,3,
cow,Holstein cow,animals,mammal,height at withers,1.45,1,
bison,American bison,animals,mammal,body length,3.0,2,
african-buffalo,African buffalo,animals,mammal,shoulder height,1.5,2,
yak,Wild yak,animals,mammal,shoulder height,1.7,3,
musk-ox,Musk ox,animals,mammal,shoulder height,1.3,4,
moose,Moose,animals,mammal,shoulder height,1.9,1,
elk,Elk (wapiti),animals,mammal,shoulder height,1.5,3,
red-deer,Red deer,animals,mammal,shoulder height,1.2,2,
reindeer,Reindeer,animals,mammal,shoulder height,1.1,2,
white-tailed-deer,White-tailed deer,animals,mammal,shoulder height,0.95,2,
roe-deer,Roe deer,animals,mammal,shoulder height,0.7,3,
wildebeest,Blue wildebeest,animals,mammal,shoulder height,1.4,2,
impala,Impala,animals,mammal,shoulder height,0.9,3,
thomsons-gazelle,Thomson's gazelle,animals,mammal,shoulder height,0.65,3,
okapi,Okapi,animals,mammal,shoulder height,1.5,4,
tapir,Brazilian tapir,animals,mammal,body length,2.0,3,
wild-boar,Wild boar,animals,mammal,body length,1.5,2,
pig,Domestic pig,animals,mammal,body length,1.5,1,
warthog,Common warthog,animals,mammal,body length,1.3,3,
sheep,Domestic sheep,animals,mammal,shoulder height,0.8,1,
goat,Domestic goat,animals,mammal,shoulder height,0.7,1,
red-kangaroo,Red kangaroo,animals,mammal,standing height,1.6,1,
koala,Koala,animals,mammal,body length,0.7,1,
wombat,Common wombat,animals,mammal,body length,1.0,3,
platypus,Platypus,animals,mammal,length,0.45,2,
tasmanian-devil,Tasmanian devil,animals,mammal,head-body length,0.6,3,
gorilla,Western gorilla,animals,mammal,standing height,1.7,1,male
chimpanzee,Chimpanzee,animals,mammal,standing height,1.2,1,
orangutan,Bornean orangutan,animals,mammal,standing height,1.4,1,
bonobo,Bonobo,animals,mammal,standing height,1.15,3,
baboon,Olive baboon,animals,mammal,head-body length,0.75,2,
mandrill,Mandrill,animals,mammal,head-body length,0.8,3,
capuchin,Capuchin monkey,animals,mammal,head-body length,0.4,3,
ring-tailed-lemur,Ring-tailed lemur,animals,mammal,head-body length,0.43,2,
human,Human (adult),animals,mammal,standing height,1.7,1,anchor
three-toed-sloth,Three-toed sloth,animals,mammal,body length,0.5,2,
giant-anteater,Giant anteater,animals,mammal,total length,1.8,3,
armadillo,Nine-banded armadillo,animals,mammal,head-body length,0.4,3,
pangolin,Ground pangolin,animals,mammal,head-body length,0.5,3,
aardvark,Aardvark,animals,mammal,head-body length,1.2,4,
capybara,Capybara,animals,mammal,body length,1.2,2,
beaver,Eurasian beaver,animals,mammal,head-body length,0.9,2,
porcupine,North American porcupine,animals,mammal,body length,0.75,3,
rabbit,European rabbit,animals,mammal,body length,0.4,1,
hare,European hare,animals,mammal,body length,0.55,2,
red-squirrel,Red squirrel,animals,mammal,head-body length,0.2,1,
brown-rat,Brown rat,animals,mammal,head-body length,0.25,1,
house-mouse,House mouse,animals,mammal,head-body length,0.08,1,
hamster,Golden hamster,animals,mammal,body length,0.15,2,
guinea-pig,Guinea pig,animals,mammal,body length,0.25,2,
hedgehog,European hedgehog,animals,mammal,body length,0.25,2,
mole,European mole,animals,mammal,body length,0.14,3,
meerkat,Meerkat,animals,mammal,head-body length,0.28,2,
eurasian-otter,Eurasian otter,animals,mammal,head-body length,0.7,2,
badger,European badger,animals,mammal,body length,0.75,2,
raccoon,Raccoon,animals,mammal,head-body length,0.6,2,
skunk,Striped skunk,animals,mammal,head-body length,0.45,2,
wolverine,Wolverine,animals,mammal,body length,0.8,3,
